shotID,sessionID,uniqueid,lineCallType,id,playingPlayerID,receivingPlayerID,in_out,review,status,x,y,ballSpeed,impactSpeed,netHeight,spin,playingx,playingy,receivingx,receivingy,shotType,timestamp,TimeSinceLast,bitNet,bounce_x,bounce_y,bounce_playerPosition_x,bounce_playerPosition_y,bounce2ago_x,bounce2ago_y,stroke,MachineSetting,ServeSide,Type
1025985,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-34.562,6.916,67.727,48.377,3.708,0,47.974,-1.944,-50,1.14,NA,1570808859.706,1.63100004196167,0,29.359,3.375,50,-7.962,27.4,2.544,Forehand,Narrow 60 MPH,NA,Down the Line
1025986,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.083,-1.691,59.713,42.652,1.441,0,-50,1.14,50,-10.393,NA,1570808861.336,1.6299998760223389,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025987,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-23.042,8.525,66.143,47.245,0.752,0,49.733,-6.18,-50,1.14,NA,1570808862.760,1.4240000247955322,0,29.083,-1.691,50,-10.393,29.359,3.375,Forehand,Narrow 60 MPH,NA,Cross Court
1025988,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,32.702,3.54,63.607,45.434,2.022,0,-50,1.14,50,-2.853,NA,1570808864.492,1.7320001125335693,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025988,12205,89ab63cd469b0589,0,1,Michael,Michael,0,0,NA,0,2.186,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,32.702,3.54,50,-2.853,29.083,-1.691,Forehand,Narrow 60 MPH,NA,Down the Line
1025989,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,30.889,-1.766,60.008,42.863,1.451,0,-43.396,2.252,50,-5.76,NA,1570808867.764,3.2719998359680176,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025990,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,1,NA,-37.94,6.068,58.604,41.86,4.927,0,48.044,-5.038,-43.396,2.252,NA,1570808869.439,1.6749999523162842,0,30.889,-1.766,50,-5.76,32.702,3.54,Forehand,Narrow 60 MPH,NA,Cross Court
1025991,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,31.024,3.12,66.431,47.451,1.706,0,-43.396,2.252,50,-4.683,NA,1570808871.081,1.6420001983642578,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025992,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-24.718,3.963,68.037,48.598,1.44,0,48.915,-3.119,-43.396,2.252,NA,1570808872.450,1.36899995803833,0,31.024,3.12,50,-4.683,30.889,-1.766,Forehand,Narrow 60 MPH,NA,Down the Line
1025993,12205,89ab63cd469b0589,0,1,Ball Machine,Michael,1,0,NA,29.77,-2.239,63.518,45.37,1.353,0,-43.396,2.252,50,-5.871,NA,1570808874.237,1.7869999408721924,0,NA,NA,NA,NA,NA,NA,Forehand,Narrow 60 MPH,NA,NA
1025994,12205,89ab63cd469b0589,0,0,Michael,Ball Machine,1,0,NA,-31.699,1.046,71.037,50.74,2.505,0,50,-3.735,-31.73,5.183,NA,1570808878.877,4.640000104904175,0,29.77,-2.239,50,-5.871,31.024,3.12,Forehand,Narrow 60 MPH,NA,Cross Court
